ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,macd,volume_change_rate
603336.SH,20250813,8.19,8.29,8.02,8.07,8.2,-0.13,-1.5854,264080.48,213723.456,0.5300000000000002,0.8000000000000007,1.1900000000000004,7.996,7.7219999999999995,7.521499999999999,7.990830711954096,7.798882701382645,7.496623048692944,0.2699999999999996,0.3514285714285714,0.0,0.129999999999999,0.1052451050800561,0.04745818182320603,2.2176387934986903,68.92130956338164,7.655000000000001,7.2726923076923065,7.732579236050735,7.342770458161105,0.38980877788962953,0.3402199038792964,0.35115215338139605,0.07731324901646697,-0.23048544892239903
603336.SH,20250814,8.02,8.14,7.99,8.0,8.07,-0.07,-0.8674,197243.14,158770.801,0.4299999999999997,0.71,0.8600000000000003,8.081999999999999,7.793000000000001,7.5645,7.993887141302732,7.835449482949436,7.544563710722188,0.15000000000000036,0.3192857142857143,0.0,0.07000000000000028,0.09772759757433781,0.04906831169297705,1.9916641555924,66.57378809948729,7.7075000000000005,7.341153846153846,7.773720892042929,7.3914541279269494,0.3822667641159798,0.34616509578113064,0.3573750755283128,0.04978337717533399,-0.25309458692289555
603336.SH,20250815,7.95,8.18,7.95,8.18,8.0,0.18,2.25,170327.76,138261.364,0.17999999999999972,0.7299999999999995,1.1600000000000001,8.117999999999999,7.866,7.6225,8.05592476086849,7.898095031504083,7.60508145255817,0.22999999999999954,0.29571428571428565,0.17999999999999972,0.0,0.10360419774759937,0.045563432286335824,2.273845330538665,69.45487953655208,7.783333333333334,7.416538461538461,7.836225370190171,7.449864933265694,0.38636043692447686,0.3537916885348245,0.36317214780754564,0.04637657823386243,-0.13645787630434195
603336.SH,20250818,8.19,8.35,8.11,8.34,8.18,0.16,1.956,209966.68,173813.511,0.1999999999999993,0.9399999999999995,1.0099999999999998,8.158000000000001,7.959999999999999,7.673,8.15061650724566,7.978441389412431,7.675073695171678,0.2400000000000002,0.29357142857142854,0.16000000000000014,0.0,0.10763246933705657,0.042308901408740406,2.5439674809145782,71.78303679745012,7.8708333333333345,7.498461538461539,7.913729159391684,7.515800864134902,0.39792829525678197,0.3626487054003321,0.3701233772973929,0.055609835918778106,0.23272143072861395
603336.SH,20250819,8.34,9.17,8.34,9.17,8.34,0.83,9.952,354084.53,317354.996,0.9700000000000006,1.6100000000000003,1.79,8.352,8.121,7.7625,8.490411004830442,8.195088409519261,7.817447628964851,0.8300000000000001,0.3421428571428571,0.8300000000000001,0.0,0.1592301500986954,0.03928683702240181,4.053015263303089,80.20983614946942,8.014166666666666,7.604230769230768,8.107001596408349,7.638334133458243,0.46866746295010575,0.37990282485196847,0.38983219442793554,0.15767053704434042,0.6863843825125017
603336.SH,20250820,9.09,9.51,9.02,9.3,9.17,0.13,1.4177,408581.0,379882.151,1.2300000000000004,1.7600000000000007,2.280000000000001,8.597999999999999,8.297,7.8765,8.760274003220296,8.395981425970303,7.958643092872961,0.4900000000000002,0.35857142857142854,0.13000000000000078,0.0,0.15714228223450294,0.036480634377944535,4.307553443465008,81.15892735416045,8.1725,7.703846153846154,8.290539812345525,7.7614204939428175,0.5291193184027074,0.4044255991312115,0.41768961922288994,0.22285939835963497,0.15390807951988178
603336.SH,20250821,9.26,10.02,9.26,9.89,9.3,0.59,6.3441,436048.53,420778.685,1.8900000000000006,2.3200000000000003,2.170000000000001,8.975999999999999,8.529,7.984999999999999,9.136849335480198,8.667621166702975,8.14258184593268,0.7599999999999998,0.38428571428571423,0.5899999999999999,0.0,0.18806069064632416,0.03387487477951993,5.551627625794853,84.73661726342881,8.366666666666667,7.819615384615385,8.536610610446214,7.919093049947053,0.6175175604991612,0.43578189693824004,0.4576552074781442,0.31972470604203396,0.06722664538977591
603336.SH,20250822,9.89,9.93,9.36,9.49,9.89,-0.4,-4.0445,357157.31,339990.657,1.3100000000000005,1.4900000000000002,1.9700000000000006,9.238000000000001,8.677999999999999,8.0835,9.254566223653466,8.817144590938797,8.270907384415283,0.5700000000000003,0.40499999999999997,0.0,0.40000000000000036,0.17462778417158673,0.06002666943812567,2.9091699707175933,74.41912202614118,8.529166666666667,7.910000000000001,8.683285901146796,8.035456527728753,0.6478293734180429,0.46734843343162996,0.495690040666124,0.30427866550383786,-0.18092302707682567
603336.SH,20250825,9.47,9.54,9.24,9.33,9.49,-0.16,-1.686,270016.53,252726.483,0.9900000000000002,1.1899999999999995,1.8899999999999997,9.436,8.797,8.178,9.279710815768977,8.910391028949926,8.371773347804304,0.29999999999999893,0.4014285714285713,0.0,0.16000000000000014,0.1621543710164734,0.06716762162111671,2.41417467379095,70.71034450356215,8.675833333333332,7.998846153846154,8.782780377893443,8.131348636785882,0.6514317411075616,0.49676997006271634,0.5268383807544116,0.2491867207063001,-0.2439843104429249
603336.SH,20250826,9.36,9.42,9.1,9.16,9.33,-0.17,-1.8221,226004.03,208273.726,-0.009999999999999787,0.9600000000000009,1.79,9.434000000000001,8.892999999999999,8.267500000000002,9.239807210512652,8.955774478231756,8.446842552775323,0.3200000000000003,0.41285714285714276,0.0,0.16999999999999993,0.15057191594386815,0.07451279150532265,2.02075258357637,66.89566681372936,8.772499999999999,8.069230769230769,8.840814165909837,8.207545034061003,0.6332691318488344,0.523821120502628,0.5481245309732962,0.17028920175107642,-0.16299928008111217
